comparison,split_a,uav_a,split_b,uav_b,overlap_cycles,sampled_points,robust_scaled_rmse,robust_scaled_mean_absolute_difference,near_duplicate
train-train,train,UAV_0007,train,UAV_0018,424,100,1.2440623304360245,0.7429437368267434,False
train-train,train,UAV_0004,train,UAV_0026,243,100,1.2495683775003021,0.8017394646514223,False
train-train,train,UAV_0002,train,UAV_0049,253,100,1.2535673635744393,0.7763734686892122,False
train-train,train,UAV_0006,train,UAV_0036,278,100,1.2603454765101572,0.8167798941451807,False
train-train,train,UAV_0039,train,UAV_0053,164,100,1.2645989574220697,0.9805014421738663,False
train-train,train,UAV_0050,train,UAV_0081,161,100,1.2650503568946185,0.9718690951437053,False
train-train,train,UAV_0080,train,UAV_0093,147,100,1.2725751125486107,0.6754863166923496,False
train-train,train,UAV_0091,train,UAV_0099,145,100,1.2756934724529978,0.8550541804280571,False
train-train,train,UAV_0057,train,UAV_0060,190,100,1.285900278034012,0.8689726891677503,False
train-train,train,UAV_0045,train,UAV_0057,205,100,1.2916564169448725,0.875144238421238,False
train-train,train,UAV_0033,train,UAV_0053,164,100,1.2921407747567213,1.0052563563925685,False
train-train,train,UAV_0031,train,UAV_0054,183,100,1.2993636008525637,0.7384717581233929,False
train-train,train,UAV_0041,train,UAV_0097,275,100,1.3043581397027573,0.6970542257422088,False
train-train,train,UAV_0063,train,UAV_0099,145,100,1.307929198804927,0.8522205295648732,False
train-train,train,UAV_0013,train,UAV_0050,161,100,1.3091506550987293,0.8418371368467803,False
train-train,train,UAV_0047,train,UAV_0053,164,100,1.3132806553446794,0.9864622571357526,False
train-train,train,UAV_0002,train,UAV_0011,197,100,1.314576476402801,0.8184819286649093,False
train-train,train,UAV_0048,train,UAV_0064,174,100,1.3149929478790277,0.7497247888017329,False
train-train,train,UAV_0009,train,UAV_0043,321,100,1.3221280787080207,0.8345222984965969,False
train-train,train,UAV_0033,train,UAV_0059,231,100,1.32272952444079,0.8464379910166226,False
train-train,train,UAV_0056,train,UAV_0069,170,100,1.3237485002569682,0.6455566742970592,False
train-train,train,UAV_0005,train,UAV_0031,183,100,1.3279973445411508,0.7182894770104579,False
train-train,train,UAV_0002,train,UAV_0062,246,100,1.332067856459914,0.6978710810812173,False
train-train,train,UAV_0014,train,UAV_0023,196,100,1.3373687490578776,0.6582941012900574,False
train-train,train,UAV_0050,train,UAV_0079,161,100,1.3378333489665561,0.6364261384325854,False
train-train,train,UAV_0061,train,UAV_0080,147,100,1.3414389483985552,0.7541850373740621,False
train-train,train,UAV_0090,train,UAV_0099,145,100,1.3475857091055048,0.8860158286043288,False
train-train,train,UAV_0044,train,UAV_0099,145,100,1.347640231475879,0.666311911332021,False
train-train,train,UAV_0038,train,UAV_0060,190,100,1.3479128863781877,0.8056869397231216,False
train-train,train,UAV_0027,train,UAV_0037,320,100,1.3497126418553516,0.8288408931724309,False
train-train,train,UAV_0020,train,UAV_0043,321,100,1.3507858737286649,0.6990851447405626,False
train-train,train,UAV_0088,train,UAV_0097,275,100,1.363054516001403,0.8628881906893308,False
train-train,train,UAV_0025,train,UAV_0030,193,100,1.366364043565178,0.7594041364146744,False
train-train,train,UAV_0067,train,UAV_0096,263,100,1.369035859756965,1.0959490075999287,False
train-train,train,UAV_0093,train,UAV_0099,145,100,1.3711514545086132,0.8279323859260176,False
train-train,train,UAV_0006,train,UAV_0014,207,100,1.376666820360524,0.7538119994112092,False
train-train,train,UAV_0087,train,UAV_0099,145,100,1.3841327268773471,0.7523150223667662,False
train-train,train,UAV_0081,train,UAV_0098,307,100,1.3882230871614016,0.8150413591954825,False
train-train,train,UAV_0074,train,UAV_0091,156,100,1.3947757020614913,0.718361001399145,False
train-train,train,UAV_0002,train,UAV_0020,253,100,1.3992387253433496,0.9097668943602466,False
train-train,train,UAV_0003,train,UAV_0025,193,100,1.4034670448622395,0.8003764954743045,False
