uav_id,channel,window,available_points,endpoint_cycle,rolling_mean,rolling_sd,window_delta,window_slope
UAV_0021,telemetry_11,5,5,220,61.55389700315309,0.14504517907355896,0.08600333733836862,0.003311929760856458
UAV_0021,telemetry_11,20,20,220,61.65234678620565,0.1563150997517048,-0.2980736784770883,-0.015190053790394318
UAV_0021,telemetry_11,50,50,220,61.830795698449464,0.22648933128456578,-0.48717418417759006,-0.012269646148863101
UAV_0021,telemetry_12,5,5,220,645.2117759727631,1.8294089330327667,2.7966887799780125,0.8123715027555136
UAV_0021,telemetry_12,20,20,220,644.5259213433876,1.4411466374225026,2.530337467599111,0.05236907382486316
UAV_0021,telemetry_12,50,50,220,642.9770884619047,1.846138083235951,3.995269685682615,0.09406390045090815
UAV_0021,telemetry_13,5,5,220,7144.466588161473,2.743595034942377,5.480750896214886,1.0570791252487652
UAV_0021,telemetry_13,20,20,220,7141.532641197443,3.8842443253413097,7.466912059272545,0.3974424237031968
UAV_0021,telemetry_13,50,50,220,7138.748819987813,3.9692979143289704,13.810354526219271,0.18531157011816374
UAV_0021,telemetry_14,5,5,220,-648.8153498138018,0.0,0.0,0.0
UAV_0021,telemetry_14,20,20,220,-648.8153498138018,0.0,0.0,0.0
UAV_0021,telemetry_14,50,50,220,-648.8153498138018,0.0,0.0,0.0
UAV_0021,telemetry_15,5,5,220,50332.880435730374,26.09638283665211,36.63634178729262,8.141409286065027
UAV_0021,telemetry_15,20,20,220,50267.57029714693,49.2907527628893,147.34717260915204,7.628977225167844
UAV_0021,telemetry_15,50,50,220,50197.67013069176,70.44004590135276,226.5408811190573,4.573888103134429
UAV_0021,telemetry_16,5,5,220,-703.270740244661,1.7343073863319205,0.0,-0.17343073863319206
UAV_0021,telemetry_16,20,20,220,-700.8427099037964,2.3471394621173025,0.0,-0.2607981032078127
UAV_0021,telemetry_16,50,50,220,-698.9349717788313,2.580731975606542,-5.202922158995875,-0.13449730751145733
UAV_0021,telemetry_17,5,5,220,40.41581228213973,0.0,0.0,0.0
UAV_0021,telemetry_17,20,20,220,40.41581228213974,7.290014651212246e-15,0.0,0.0
UAV_0021,telemetry_17,50,50,220,40.41581228213974,7.177565525411544e-15,0.0,0.0
UAV_0021,telemetry_18,5,5,220,-103.04822947576267,0.03693420764425558,0.0046213591434991486,0.010324635506418645
UAV_0021,telemetry_18,20,20,220,-103.0537917036088,0.03222720139755069,0.0068703188796206405,0.0016532949111207882
UAV_0021,telemetry_18,50,50,220,-103.04739801932034,0.038056227567559525,0.01643170970579888,-0.00014453806227642159
